date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:43%20GMT	http://paversongames.com/cdn/shop/files/paverson-banner1_1200x1200.png?v=1679158329	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/files/paverson-banner1_1200x12007c38.png	(from https://paversongames.com/)
14:44:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:44%20GMT	http://paversongames.com/cdn/shop/t/5/assets/styles.css?v=4857856109119783871699220144	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/t/5/assets/styles8ffc.css	(from https://paversongames.com/)
14:44:45	726320/726320	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Jul%202024%2018:42:32%20GMT	https://paversongames.com/cdn/shop/files/paverson-banner1_1200x1200.png?v=1679158329	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/files/paverson-banner1_1200x12007c38.png	(from https://paversongames.com/)
14:44:45	158192/158192	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Sep%202024%2002:18:34%20GMT	https://paversongames.com/cdn/shop/t/5/assets/styles.css?v=4857856109119783871699220144	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/t/5/assets/styles8ffc.css	(from https://paversongames.com/)
14:44:47	349372/349372	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:7aaf421fc26acfadd70e591843d400bc%22	https://paversongames.com/en-ca	F:/MLNWEB/BroadGame/paversongames.com/en-ca.html	(from https://paversongames.com/)
14:44:47	0/0	---M--	200	added ('OK')	application/javascript	date:Sun,%2003%20Nov%202024%2007:44:46%20GMT	https://shop.app/checkouts/internal/preloads.js?locale=en-VN&shop_id=66448949461	F:/MLNWEB/BroadGame/shop.app/checkouts/internal/preloads.180d80.delayed	(from https://paversongames.com/)
14:44:47	0/0	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:e7fcd3e9af3b613ef7d376a727df2916%22	https://paversongames.com/modules/chunk.common_DCmY8Zac.esm.js	F:/MLNWEB/BroadGame/paversongames.com/modules/chunk.common_DCmY8Zac.esm.js	(from https://paversongames.com/)
14:44:48	0/0	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:669a6333bebb4432bc42c3eaf6acbdbe%22	https://paversongames.com/modules/client.login-button_8knyv73M.en.esm.js	F:/MLNWEB/BroadGame/paversongames.com/modules/client.login-button_8knyv73M.en.esm.js	(from https://paversongames.com/)
14:44:48	9611/9611	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2022%20Aug%202024%2010:38:01%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.4.0.iife.js	F:/MLNWEB/BroadGame/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.4.0.iife.js	(from https://paversongames.com/)
14:44:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:47%20GMT	http://paversongames.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307.js	F:/MLNWEB/BroadGame/paversongames.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307.1c.delayed	(from https://paversongames.com/)
14:44:48	12948/12948	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2031%20Oct%202024%2018:41:25%20GMT	https://paversongames.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307.js	F:/MLNWEB/BroadGame/paversongames.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307.js	(from https://paversongames.com/)
14:44:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:47%20GMT	http://paversongames.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-80e528be853eac23af2454534897ca9536b1d3d04aa043b042f34879a3c111c8.js?v=20220906	F:/MLNWEB/BroadGame/paversongames.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-80e528be853eac23af2454534897ca9536b1d3d04aa043b042f34879a3c111c8b805.js	(from https://paversongames.com/)
14:44:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:48%20GMT	http://paversongames.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	F:/MLNWEB/BroadGame/paversongames.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	(from https://paversongames.com/)
14:44:49	51984/51984	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2021%20Oct%202024%2023:24:07%20GMT	https://paversongames.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-80e528be853eac23af2454534897ca9536b1d3d04aa043b042f34879a3c111c8.js?v=20220906	F:/MLNWEB/BroadGame/paversongames.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-80e528be853eac23af2454534897ca9536b1d3d04aa043b042f34879a3c111c8b805.js	(from https://paversongames.com/)
14:44:49	37678/37678	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2019%20Sep%202024%2019:37:38%20GMT	https://paversongames.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	F:/MLNWEB/BroadGame/paversongames.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	(from https://paversongames.com/)
14:44:50	271972/271972	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:d4bdf2e24dcdda9b8faceb52e96b17b5%22	https://paversongames.com/POST	F:/MLNWEB/BroadGame/paversongames.com/POST	(from https://paversongames.com/)
14:44:50	40130/40130	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:W/%22cacheable:d4bdf2e24dcdda9b8faceb52e96b17b5%22	https://paversongames.com/cdn	F:/MLNWEB/BroadGame/paversongames.com/cdn	(from https://paversongames.com/)
